,Column1,Type,Status,City,State,PostalCode,GenderCode,BirthDate,MaritalStatus,Enrolled on ,Living status,Age,Age Group,Month_Year,Weak Num
1777,006B41EE-A81C-11e8-B978-00505682069A,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,5/15/1960,M,8/25/2018,couple with children,60.0,60+ Years,18-Aug,Weak: 34
1778,006BFD9C-902B-11e8-BC32-00505682069A,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,6/6/1959,M,7/26/2018,couple with children,61.0,60+ Years,18-Jul,Weak: 30
1779,006C75A4-43F4-11e9-835C-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,10/15/1960,M,3/11/2019,couple with children,60.0,60+ Years,19-Mar,Weak: 11
1780,006D30B6-020C-11ea-8062-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500001.0,FEMALE,11/19/1998,M,11/8/2019,couple with children,22.0,20-25 Years,19-Nov,Weak: 45
1781,006F7DAB-2863-11e9-976A-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,6/14/1997,M,2/4/2019,couple with children,23.0,20-25 Years,19-Feb,Weak: 6
1782,00723A05-6C20-11e9-900E-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500035.0,FEMALE,5/24/1978,M,5/1/2019,couple with children,42.0,40- 45Years,19-May,Weak: 18
1783,00734A0F-BC24-11e9-B1A2-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500001.0,FEMALE,7/18/1982,M,8/11/2019,couple with children,38.0,35-40 Years,19-Aug,Weak: 33
1784,007E782F-E5B1-11e8-BD60-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500028.0,FEMALE,12/6/1984,M,11/11/2018,Couple without children,36.0,35-40 Years,18-Nov,Weak: 46
1785,007E79BF-E5B1-11e8-BD60-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,12/12/1981,M,11/11/2018,Couple without children,39.0,35-40 Years,18-Nov,Weak: 46
1786,007FED79-C773-11e9-9EE0-005056991469,Individual,Active,Hyderabad,TELANGANA,500068.0,FEMALE,8/22/1988,M,8/26/2019,Couple without children,32.0,30-35 Years,19-Aug,Weak: 35
1787,008098DD-A922-11e8-8B86-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,5/4/1975,M,8/26/2018,Couple without children,45.0,45-50 Years,18-Aug,Weak: 35
1788,008098E6-A922-11e8-8B86-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500068.0,FEMALE,8/13/1988,M,8/26/2018,Couple without children,32.0,30-35 Years,18-Aug,Weak: 35
1789,008742BE-4EF1-11e9-9366-005056991469,Individual,Active,Hyderabad,TELANGANA,500005.0,FEMALE,1/3/1994,M,3/25/2019,couple with children,27.0,25-30 Years,19-Mar,Weak: 13
1790,0096D32C-CD76-11e9-816A-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500019.0,FEMALE,10/18/1985,M,9/2/2019,couple with children,35.0,35-40 Years,19-Sep,Weak: 36
1791,0096D63F-CD76-11e9-816A-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,11/9/1994,M,9/2/2019,couple with children,26.0,25-30 Years,19-Sep,Weak: 36
1792,009AEB9B-0311-11e9-9418-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,11/18/1990,M,12/19/2018,couple with children,30.0,30-35 Years,18-Dec,Weak: 51
1793,00A16824-729D-11e9-A128-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500068.0,FEMALE,3/31/1992,M,5/10/2019,couple with children,29.0,25-30 Years,19-May,Weak: 19
1794,00A28E1F-203C-11e9-A702-005056981C55,Individual,Active,Hyderabad,TELANGANA,500086.0,FEMALE,9/15/1980,M,1/25/2019,couple with children,40.0,40- 45Years,19-Jan,Weak: 4
1795,00A2901B-203C-11e9-A702-005056981C55,Individual,Active,Hyderabad,TELANGANA,500049.0,FEMALE,8/6/1989,M,1/25/2019,couple with children,31.0,30-35 Years,19-Jan,Weak: 4
1796,00A32552-DD1E-11e9-BD02-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,5/15/1993,M,9/22/2019,couple with children,27.0,25-30 Years,19-Sep,Weak: 39
1797,00A48BEC-198C-11e9-BF7E-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500038.0,FEMALE,2/11/1994,M,1/16/2019,couple with children,27.0,25-30 Years,19-Jan,Weak: 3
1798,00A8F424-B12C-11e8-AD08-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500033.0,FEMALE,9/16/1980,M,9/5/2018,Couple without children,40.0,40- 45Years,18-Sep,Weak: 36
1799,00A8F839-B12C-11e8-AD08-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,7/6/1985,M,9/5/2018,Couple without children,35.0,35-40 Years,18-Sep,Weak: 36
1800,00AA54AD-BDBA-11e9-BC44-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500032.0,FEMALE,5/8/1995,M,8/13/2019,Couple without children,25.0,25-30 Years,19-Aug,Weak: 33
1801,00AA56A4-BDBA-11e9-BC44-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500029.0,FEMALE,4/5/1986,M,8/13/2019,Couple without children,34.0,30-35 Years,19-Aug,Weak: 33
1802,00AD9897-2385-11e9-8662-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500096.0,FEMALE,1/1/1984,M,1/29/2019,Couple without children,37.0,35-40 Years,19-Jan,Weak: 5
1803,00AD9B3F-2385-11e9-8662-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,12/17/1975,M,1/29/2019,Couple without children,45.0,45-50 Years,19-Jan,Weak: 5
1804,00AF0F8B-F3DB-11e8-94D8-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,5/13/1985,M,11/29/2018,Couple without children,35.0,35-40 Years,18-Nov,Weak: 48
1805,00B22E7D-A20A-11e9-9FCC-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,6/25/1964,M,7/9/2019,Couple without children,56.0,55-60 Years,19-Jul,Weak: 28
1806,00B22F00-A20A-11e9-9FCC-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500024.0,FEMALE,2/26/1985,M,7/9/2019,Couple without children,36.0,35-40 Years,19-Jul,Weak: 28
1807,00B23006-A20A-11e9-9FCC-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500068.0,FEMALE,6/27/1985,M,7/9/2019,Couple without children,35.0,35-40 Years,19-Jul,Weak: 28
1808,00B30C1F-9E26-11e8-8586-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500001.0,FEMALE,6/16/1974,M,8/12/2018,Couple without children,46.0,45-50 Years,18-Aug,Weak: 33
1809,00B30C74-9E26-11e8-8586-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,4/9/1989,M,8/12/2018,Couple without children,31.0,30-35 Years,18-Aug,Weak: 33
1810,00B8A2D9-7EED-11e9-853A-005056991469,Individual,Active,Hyderabad,TELANGANA,500004.0,FEMALE,11/21/1996,M,5/25/2019,Single/living alone,24.0,20-25 Years,19-May,Weak: 21
1811,00B97526-1BE7-11e9-AA00-005056991469,Individual,Active,Hyderabad,TELANGANA,500035.0,FEMALE,1/20/1970,M,1/19/2019,Single/living alone,51.0,50-55 Years,19-Jan,Weak: 3
1812,00C0579B-C972-11e8-B5EA-00505682069A,Individual,Active,Hyderabad,TELANGANA,500028.0,FEMALE,6/28/1997,M,10/6/2018,couple with children,23.0,20-25 Years,18-Oct,Weak: 40
1813,00C41F67-B4C5-11e8-9238-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500029.0,FEMALE,12/13/1985,M,9/10/2018,couple with children,35.0,35-40 Years,18-Sep,Weak: 37
1814,00C4205C-B4C5-11e8-9238-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,2/8/1985,M,9/10/2018,couple with children,36.0,35-40 Years,18-Sep,Weak: 37
1815,00C42093-B4C5-11e8-9238-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,8/28/1983,M,9/10/2018,couple with children,37.0,35-40 Years,18-Sep,Weak: 37
1816,00C4CAF0-ECC1-11e8-835C-005056981C55,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,6/7/1986,M,11/20/2018,couple with children,34.0,30-35 Years,18-Nov,Weak: 47
1817,00D003AC-792A-11e9-A796-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,10/23/1968,M,5/18/2019,couple with children,52.0,50-55 Years,19-May,Weak: 20
1818,00D00528-792A-11e9-A796-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,9/9/1986,M,5/18/2019,couple with children,34.0,30-35 Years,19-May,Weak: 20
1819,00D00598-792A-11e9-A796-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500059.0,FEMALE,4/13/1993,M,5/18/2019,couple with children,27.0,25-30 Years,19-May,Weak: 20
1820,00D0A193-A40E-11e9-B64A-005056991469,Individual,Active,Hyderabad,TELANGANA,500019.0,FEMALE,1/1/1900,M,7/12/2019,couple with children,121.0,60+ Years,19-Jul,Weak: 28
1821,00D3B377-A63D-11e8-ACC0-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,2/14/1982,M,8/22/2018,couple with children,39.0,35-40 Years,18-Aug,Weak: 34
1822,00D3B383-A63D-11e8-ACC0-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,5/26/1982,M,8/22/2018,couple with children,38.0,35-40 Years,18-Aug,Weak: 34
1823,00D49D4F-D41B-11e9-9C20-005056981C55,Individual,Active,Hyderabad,TELANGANA,500098.0,FEMALE,1/12/1987,M,9/11/2019,couple with children,34.0,30-35 Years,19-Sep,Weak: 37
1824,00D4A0AA-D41B-11e9-9C20-005056981C55,Individual,Active,Hyderabad,TELANGANA,500036.0,FEMALE,4/25/1981,M,9/11/2019,couple with children,39.0,35-40 Years,19-Sep,Weak: 37
1825,00D6F6C0-A23E-11e8-97E2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500032.0,FEMALE,6/10/1994,M,8/17/2018,Couple without children,26.0,25-30 Years,18-Aug,Weak: 33
1826,00D6F8B2-A23E-11e8-97E2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,11/3/1980,M,8/18/2018,Couple without children,40.0,40- 45Years,18-Aug,Weak: 33
1827,00D6FA39-A23E-11e8-97E2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,3/26/1988,M,8/18/2018,Couple without children,33.0,30-35 Years,18-Aug,Weak: 33
1828,00E57514-89DF-11e9-B8EE-005056981C55,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,4/26/1990,M,6/8/2019,Couple without children,30.0,30-35 Years,19-Jun,Weak: 23
1829,00E7781D-0FFE-11e9-8D92-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,3/10/1992,M,1/4/2019,Couple without children,29.0,25-30 Years,19-Jan,Weak: 1
1830,00E779DE-0FFE-11e9-8D92-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500035.0,FEMALE,8/19/1989,M,1/4/2019,Couple without children,31.0,30-35 Years,19-Jan,Weak: 1
1831,00EB521B-06E5-11e9-8738-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500044.0,FEMALE,5/18/1991,M,12/23/2018,Single/living alone,29.0,25-30 Years,18-Dec,Weak: 52
1832,00ED23ED-F98F-11e8-9246-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,11/17/1983,M,12/6/2018,Single/living alone,37.0,35-40 Years,18-Dec,Weak: 49
1833,00F0A9E8-CFFC-11e8-9F6C-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500091.0,FEMALE,12/17/1998,M,10/15/2018,Single/living alone,22.0,20-25 Years,18-Oct,Weak: 42
1834,00F0ABA3-CFFC-11e8-9F6C-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500045.0,FEMALE,9/2/1979,M,10/15/2018,couple with children,41.0,40- 45Years,18-Oct,Weak: 42
1835,00F349F7-585C-11e9-BC18-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500038.0,FEMALE,10/20/1991,M,4/6/2019,couple with children,29.0,25-30 Years,19-Apr,Weak: 14
1836,00F34AE4-585C-11e9-BC18-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,8/9/1963,M,4/6/2019,couple with children,57.0,55-60 Years,19-Apr,Weak: 14
1837,00F34C83-585C-11e9-BC18-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500086.0,FEMALE,2/4/1968,M,4/6/2019,couple with children,53.0,50-55 Years,19-Apr,Weak: 14
1838,00F57525-7FC2-11e9-900E-005056991469,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,12/5/1981,M,5/26/2019,couple with children,39.0,35-40 Years,19-May,Weak: 22
1839,00F58CAC-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500033.0,FEMALE,4/15/1956,M,12/9/2018,couple with children,64.0,60+ Years,18-Dec,Weak: 50
1840,00F58CC3-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500059.0,FEMALE,8/15/1981,M,12/9/2018,couple with children,39.0,35-40 Years,18-Dec,Weak: 50
1841,00F58D74-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,1/5/1984,M,12/9/2018,couple with children,37.0,35-40 Years,18-Dec,Weak: 50
1842,00F58D9C-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,5/12/1982,M,12/9/2018,couple with children,38.0,35-40 Years,18-Dec,Weak: 50
1843,00F58E06-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500033.0,FEMALE,5/25/1995,M,12/9/2018,couple with children,25.0,25-30 Years,18-Dec,Weak: 50
1844,00F845C5-27BE-11e9-B624-005056981C55,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,2/5/1992,M,2/3/2019,couple with children,29.0,25-30 Years,19-Feb,Weak: 6
1845,00F84612-27BE-11e9-B624-005056981C55,Individual,Active,Hyderabad,TELANGANA,500028.0,FEMALE,2/5/1986,M,2/3/2019,couple with children,35.0,35-40 Years,19-Feb,Weak: 6
1846,00FBA3AC-B97A-11e8-BBAA-00505682069A,Individual,Active,Hyderabad,TELANGANA,500075.0,FEMALE,6/2/1994,M,9/16/2018,couple with children,26.0,25-30 Years,18-Sep,Weak: 38
1847,00FBA4CB-B97A-11e8-BBAA-00505682069A,Individual,Active,Hyderabad,TELANGANA,500098.0,FEMALE,1/12/1979,M,9/16/2018,Couple without children,42.0,40- 45Years,18-Sep,Weak: 38
1848,00FBA4FB-B97A-11e8-BBAA-00505682069A,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,12/24/1989,M,9/16/2018,Couple without children,31.0,30-35 Years,18-Sep,Weak: 38
1849,0105D9EE-B8A7-11e8-B326-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500074.0,FEMALE,3/22/1996,M,9/15/2018,Couple without children,25.0,25-30 Years,18-Sep,Weak: 37
1850,0105DA4F-B8A7-11e8-B326-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,11/27/1970,M,9/15/2018,Couple without children,50.0,50-55 Years,18-Sep,Weak: 37
1851,0105DB17-B8A7-11e8-B326-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500074.0,FEMALE,9/15/1994,M,9/15/2018,Couple without children,26.0,25-30 Years,18-Sep,Weak: 37
1852,01225E50-C869-11e8-86CA-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,8/15/1965,M,10/6/2018,Single/living alone,55.0,55-60 Years,18-Oct,Weak: 40
1853,01225EFE-C869-11e8-86CA-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,12/13/1988,M,10/6/2018,Single/living alone,32.0,30-35 Years,18-Oct,Weak: 40
1854,012AC3D1-EC23-11e9-B64C-005056981C55,Individual,Active,Hyderabad,TELANGANA,500082.0,FEMALE,11/24/1961,M,10/12/2019,Single/living alone,59.0,55-60 Years,19-Oct,Weak: 41
1855,012DC0CB-5692-11ea-8556-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500075.0,FEMALE,11/6/1986,M,2/24/2020,couple with children,34.0,30-35 Years,20-Feb,Weak: 9
1856,01331622-C75A-11e9-91E2-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500038.0,FEMALE,9/23/1968,M,8/25/2019,couple with children,52.0,50-55 Years,19-Aug,Weak: 35
1857,01331641-C75A-11e9-91E2-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500032.0,FEMALE,9/3/1998,M,8/25/2019,couple with children,22.0,20-25 Years,19-Aug,Weak: 35
1858,0133164A-C75A-11e9-91E2-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,11/3/1995,M,8/25/2019,couple with children,25.0,25-30 Years,19-Aug,Weak: 35
1859,01331A0E-C75A-11e9-91E2-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,2/26/1970,M,8/26/2019,couple with children,51.0,50-55 Years,19-Aug,Weak: 35
1860,013496E9-FBF6-11e8-A0FE-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500039.0,FEMALE,8/11/1988,M,12/10/2018,Couple without children,32.0,30-35 Years,18-Dec,Weak: 50
1861,0138D2D5-939D-11e9-A6E4-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500036.0,FEMALE,7/17/1972,M,6/21/2019,Couple without children,48.0,45-50 Years,19-Jun,Weak: 25
1862,0139E5C7-25CF-11ea-9B32-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,6/28/1982,M,12/24/2019,Couple without children,38.0,35-40 Years,19-Dec,Weak: 52
1863,013D563E-544A-11e8-B3AC-00505682069A,Individual,Active,Hyderabad,TELANGANA,500032.0,FEMALE,8/22/1973,M,5/10/2018,Couple without children,47.0,45-50 Years,18-May,Weak: 19
1864,013DA4A5-5DAE-11e9-975A-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,7/29/1989,M,4/13/2019,Single/living alone,31.0,30-35 Years,19-Apr,Weak: 15
1865,014269D2-D6BE-11e8-A2F0-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500082.0,FEMALE,8/5/1989,M,10/23/2018,Single/living alone,31.0,30-35 Years,18-Oct,Weak: 43
1866,014269FC-D6BE-11e8-A2F0-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500046.0,FEMALE,6/3/1982,M,10/23/2018,Single/living alone,38.0,35-40 Years,18-Oct,Weak: 43
1867,01426D5E-D6BE-11e8-A2F0-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500059.0,FEMALE,7/6/1991,M,10/23/2018,Single/living alone,29.0,25-30 Years,18-Oct,Weak: 43
1868,01445BDC-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500048.0,FEMALE,10/20/1990,M,4/6/2019,Single/living alone,30.0,30-35 Years,19-Apr,Weak: 14
1869,01445E28-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500060.0,FEMALE,9/7/1968,M,4/7/2019,Single/living alone,52.0,50-55 Years,19-Apr,Weak: 15
1870,01445F44-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500013.0,FEMALE,4/6/1975,M,4/7/2019,Single/living alone,45.0,45-50 Years,19-Apr,Weak: 15
1871,01445F7C-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500045.0,FEMALE,8/9/1970,M,4/7/2019,Single/living alone,50.0,50-55 Years,19-Apr,Weak: 15
1872,01445FBA-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500059.0,FEMALE,11/24/1977,M,4/7/2019,Single/living alone,43.0,40- 45Years,19-Apr,Weak: 15
1873,01487AF2-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500004.0,FEMALE,8/19/1987,M,8/4/2018,couple with children,33.0,30-35 Years,18-Aug,Weak: 31
1874,01487B2F-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,7/1/1990,M,8/4/2018,couple with children,30.0,30-35 Years,18-Aug,Weak: 31
1875,01487B3C-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500048.0,FEMALE,8/5/1962,M,8/4/2018,couple with children,58.0,55-60 Years,18-Aug,Weak: 31
1876,01487B47-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,FEMALE,6/1/1977,M,8/4/2018,couple with children,43.0,40- 45Years,18-Aug,Weak: 31
1877,01487B6E-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500001.0,FEMALE,2/1/1981,M,8/4/2018,couple with children,40.0,40- 45Years,18-Aug,Weak: 31
1878,01487C00-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500086.0,FEMALE,3/7/1983,M,8/4/2018,couple with children,38.0,35-40 Years,18-Aug,Weak: 31
1879,01487C0F-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,7/19/1987,M,8/4/2018,couple with children,33.0,30-35 Years,18-Aug,Weak: 31
1880,01487C3C-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,2/10/1956,M,8/4/2018,couple with children,65.0,60+ Years,18-Aug,Weak: 31
1881,01487C73-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500048.0,FEMALE,5/17/1976,M,8/4/2018,couple with children,44.0,40- 45Years,18-Aug,Weak: 31
1882,01487D61-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500008.0,FEMALE,7/20/1990,M,8/4/2018,couple with children,30.0,30-35 Years,18-Aug,Weak: 31
1883,01487DD2-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,12/20/1969,M,8/4/2018,couple with children,51.0,50-55 Years,18-Aug,Weak: 31
1884,01487DEA-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500082.0,FEMALE,1/1/1900,M,8/4/2018,couple with children,121.0,60+ Years,18-Aug,Weak: 31
1885,01487EA8-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500027.0,FEMALE,1/12/1992,M,8/4/2018,couple with children,29.0,25-30 Years,18-Aug,Weak: 31
1886,01487F85-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500060.0,FEMALE,5/18/1987,M,8/4/2018,couple with children,33.0,30-35 Years,18-Aug,Weak: 31
1887,0148BC57-D2F3-11e9-96D6-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500057.0,FEMALE,11/15/1985,M,9/9/2019,couple with children,35.0,35-40 Years,19-Sep,Weak: 37
1888,014B6FA2-E28C-11e9-AD6E-005056981C55,Individual,Active,Hyderabad,TELANGANA,500044.0,FEMALE,9/29/1996,M,9/29/2019,couple with children,24.0,20-25 Years,19-Sep,Weak: 40
1889,014B9459-CE95-11e9-9D8A-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500024.0,FEMALE,7/12/1980,M,9/3/2019,couple with children,40.0,40- 45Years,19-Sep,Weak: 36
1890,014B95A6-CE95-11e9-9D8A-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500098.0,FEMALE,1/26/1999,M,9/4/2019,couple with children,22.0,20-25 Years,19-Sep,Weak: 36
1891,014C5372-A182-11e9-9B68-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500079.0,FEMALE,2/18/1993,M,7/8/2019,couple with children,28.0,25-30 Years,19-Jul,Weak: 28
1892,014F13B8-EE30-11e8-923E-005056991469,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,7/26/1999,M,11/22/2018,Couple without children,21.0,20-25 Years,18-Nov,Weak: 47
1893,015283F0-06AB-11e9-9452-005056981C55,Individual,Active,Hyderabad,TELANGANA,500059.0,FEMALE,12/18/1992,M,12/23/2018,Couple without children,28.0,25-30 Years,18-Dec,Weak: 52
1894,01528501-06AB-11e9-9452-005056981C55,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,3/31/1987,M,12/23/2018,Couple without children,34.0,30-35 Years,18-Dec,Weak: 52
1895,0154BC24-085A-11e9-983A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500002.0,FEMALE,7/2/1962,M,12/25/2018,Couple without children,58.0,55-60 Years,18-Dec,Weak: 52
1896,0154BC92-085A-11e9-983A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,3/21/1997,M,12/25/2018,Couple without children,24.0,20-25 Years,18-Dec,Weak: 52
1897,0154BD30-085A-11e9-983A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500029.0,FEMALE,9/25/1983,M,12/25/2018,Couple without children,37.0,35-40 Years,18-Dec,Weak: 52
1898,015BA35B-B98D-11e8-8DDE-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500034.0,FEMALE,4/17/1980,M,9/16/2018,Single/living alone,40.0,40- 45Years,18-Sep,Weak: 38
1899,015BA44D-B98D-11e8-8DDE-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500032.0,FEMALE,5/17/1978,M,9/16/2018,Single/living alone,42.0,40- 45Years,18-Sep,Weak: 38
1900,015E967C-95EB-11e9-A628-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500006.0,FEMALE,7/20/1999,M,6/23/2019,Single/living alone,21.0,20-25 Years,19-Jun,Weak: 26
1901,015EF728-CF3B-11e7-8AF0-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500050.0,FEMALE,1/1/1900,M,11/22/2017,Single/living alone,121.0,60+ Years,17-Nov,Weak: 47
1902,016035F6-80F7-11e8-9C42-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500081.0,FEMALE,11/17/1989,M,7/6/2018,couple with children,31.0,30-35 Years,18-Jul,Weak: 27
1903,016EF406-D479-11e8-A8C6-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500004.0,FEMALE,8/24/1984,M,10/20/2018,couple with children,36.0,35-40 Years,18-Oct,Weak: 42
1904,0175DD69-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,FEMALE,6/1/1962,M,8/16/2018,couple with children,58.0,55-60 Years,18-Aug,Weak: 33
1905,0175DDBF-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500036.0,FEMALE,5/27/1994,M,8/16/2018,couple with children,26.0,25-30 Years,18-Aug,Weak: 33
1906,0175DE35-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500089.0,FEMALE,2/28/1987,M,8/16/2018,couple with children,34.0,30-35 Years,18-Aug,Weak: 33
1907,0175DF2B-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500027.0,FEMALE,9/4/1983,M,8/16/2018,couple with children,37.0,35-40 Years,18-Aug,Weak: 33
1908,0175E073-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500036.0,FEMALE,12/16/1981,M,8/16/2018,couple with children,39.0,35-40 Years,18-Aug,Weak: 33
